"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.slice.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 0, 7, 126
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\blog\blog.thunk.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 6, 11, 76
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.initial.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.service.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 1, 4, 15
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.slice.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\contact\contact.thunk.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 9, 21
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.initialstate.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.service.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 6, 10, 51
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.slice.js", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 1, 3, 117
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\order\order.thunk.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 6, 7, 70
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.initialstate.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 1, 4, 27
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.service.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 9, 16, 81
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.slice.js", "JavaScript", 0, 0, 211, 0, 0, 0, 0, 10, 15, 236
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\product\product.thunk.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 11, 17, 120
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\rentbike\rentbike.initialstate.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\rentbike\rentbike.service.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 7, 9, 57
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\rentbike\rentbike.slice.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 0, 5, 121
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\rentbike\rentbike.thunk.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 7, 10, 82
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.initialstate.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.service.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 3, 6, 29
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.slice.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 6, 77
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\review\review.thunk.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 3, 7, 41
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\usedbike\usedbike.initialstate.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\usedbike\usedbike.service.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 6, 9, 50
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\usedbike\usedbike.slice.js", "JavaScript", 0, 0, 115, 0, 0, 0, 0, 0, 5, 120
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\usedbike\usedbike.thunk.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 6, 14, 76
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.initialstate.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.service.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 6, 9, 50
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.slice.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 1, 6, 76
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\features\workshop\workshop.thunk.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 6, 8, 72
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\index.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 4, 8, 26
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\index.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\AboutUs.jsx", "JavaScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 10, 99
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\AboutUsAccordion.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 10, 105
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\ContactUs.jsx", "JavaScript JSX", 0, 222, 0, 0, 0, 0, 0, 3, 30, 255
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\HomePage.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 4, 5, 40
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\PrivacyPolicy.jsx", "JavaScript JSX", 0, 66, 0, 0, 0, 0, 0, 2, 13, 81
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\Blogs.jsx", "JavaScript JSX", 0, 201, 0, 0, 0, 0, 0, 6, 34, 241
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\CreateBlogPost.jsx", "JavaScript JSX", 0, 161, 0, 0, 0, 0, 0, 3, 25, 189
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\GetSingleBlog.jsx", "JavaScript JSX", 0, 136, 0, 0, 0, 0, 0, 0, 26, 162
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\MyBlogs.jsx", "JavaScript JSX", 0, 165, 0, 0, 0, 0, 0, 3, 30, 198
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\pages\blog\NoBlogPost.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
